Pesos Portfólio,Retorno,Volatilidade,Capital Final,IS
29.648600% 0.000000% 0.000562% 70.335110% 0.011623% 0.004105%,22.518097%,22.690470%,122518.096798,0.750011
29.657112% 0.000455% 0.013468% 70.313867% 0.015098% 0.000000%,22.514183%,22.687578%,122514.183433,0.749934
29.605080% 0.000110% 0.008870% 70.383832% 0.000000% 0.002107%,22.522739%,22.696914%,122522.739003,0.750002
29.601904% 0.000256% 0.000165% 70.388730% 0.008945% 0.000000%,22.524082%,22.697646%,122524.081520,0.750037
29.604613% 0.008048% 0.000778% 70.385122% 0.001440% 0.000000%,22.523585%,22.697244%,122523.585466,0.750029
29.608089% 0.004210% 0.000366% 70.383838% 0.003497% 0.000000%,22.523674%,22.697060%,122523.673963,0.750039
29.549691% 0.000000% 0.015031% 70.420735% 0.000995% 0.013547%,22.524064%,22.701338%,122524.063752,0.749915
29.588881% 0.016111% 0.000000% 70.392953% 0.000450% 0.001606%,22.523715%,22.698248%,122523.714550,0.750001
29.613884% 0.000170% 0.004097% 70.378739% 0.003109% 0.000000%,22.522960%,22.696341%,122522.959673,0.750031
29.602658% 0.000305% 0.002012% 70.383390% 0.011635% 0.000000%,22.523059%,22.696890%,122523.059039,0.750017
